UF,REGIAO,Município,Total Leitos,População,Razão Leitos/Mil,Leitos Ideais,Déficit Leitos,Percentual Cobertura,Nível Alerta,Cor Alerta
SP,ARACATUBA,Tanabi,612,26071,42.599673202614376,26.071,-585.929,14.366307391354379,VERDE (NORMAL),VERDE
SP,SOROCABA,Salto de Pirapora,618,45262,73.23948220064725,45.262,-572.738,8.438071671600902,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,Guará,576,18748,32.548611111111114,18.748,-557.252,17.696607638148066,VERDE (NORMAL),VERDE
SP,SOROCABA,Apiaí,576,24857,43.154513888888886,24.857,-551.143,13.347387053948587,VERDE (NORMAL),VERDE
SP,ARACATUBA,Nova Granada,558,19733,35.36379928315412,19.733,-538.267,15.778847615669184,VERDE (NORMAL),VERDE
SP,BAURU,Teodoro Sampaio,558,22598,40.49820788530466,22.598,-535.402,13.778387467917515,VERDE (NORMAL),VERDE
SP,CAMPINAS,Louveira,588,54865,93.3078231292517,54.865,-533.135,6.301722409550715,VERDE (NORMAL),VERDE
SP,CAMPINAS,Pedreira,576,44385,77.05729166666667,44.385,-531.615,7.4749577559986475,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,Ipuã,546,14701,26.924908424908423,14.701,-531.299,20.278620502006667,VERDE (NORMAL),VERDE
SP,BAURU,Martinópolis,552,25240,45.72463768115942,25.24,-526.76,12.072266244057053,VERDE (NORMAL),VERDE
SP,BAURU,Santo Anastácio,544,17960,33.01470588235294,17.96,-526.04,16.47750556792873,VERDE (NORMAL),VERDE
SP,METROPOLITANA,Cajamar,612,98365,160.72712418300654,98.365,-513.635,3.807695826767651,VERDE (NORMAL),VERDE
SP,CAMPINAS,Conchal,540,29132,53.94814814814815,29.132,-510.868,10.009611423863792,VERDE (NORMAL),VERDE
SP,SOROCABA,Tietê,540,38723,71.70925925925926,38.723,-501.277,7.530408284482091,VERDE (NORMAL),VERDE
SP,SOROCABA,Araçoiaba da Serra,528,33832,64.07575757575758,33.832,-494.168,8.240245921021518,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,Vargem Grande do Sul,534,41256,77.25842696629213,41.256,-492.744,6.9118673647469455,VERDE (NORMAL),VERDE
SP,ARACATUBA,Itajobi,510,17502,34.31764705882353,17.502,-492.498,14.861158724717175,VERDE (NORMAL),VERDE
SP,SOROCABA,Taquarituba,510,24932,48.88627450980392,24.932,-485.068,10.432376062891064,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,Igarapava,504,26696,52.96825396825397,26.696,-477.304,9.515133353311358,VERDE (NORMAL),VERDE
SP,BAURU,Chavantes,486,12415,25.545267489711936,12.415,-473.585,19.025050342327827,VERDE (NORMAL),VERDE
SP,ARACATUBA,Valparaíso,492,24779,50.363821138211385,24.779,-467.221,9.768917228298156,VERDE (NORMAL),VERDE
SP,BAURU,Regente Feijó,486,20620,42.42798353909465,20.62,-465.38,11.454704170708052,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,Pitangueiras,498,34361,68.99799196787149,34.361,-463.639,7.21760135036815,VERDE (NORMAL),VERDE
SP,CAMPINAS,Serra Negra,492,31047,63.103658536585364,31.047,-460.953,7.796695332882404,VERDE (NORMAL),VERDE
SP,ARACATUBA,Auriflama,474,13856,29.23206751054852,13.856,-460.144,16.215069284064665,VERDE (NORMAL),VERDE
SP,BAURU,Cafelândia,474,16907,35.66877637130802,16.907,-457.093,13.288933577808008,VERDE (NORMAL),VERDE
SP,BAURU,Tupi Paulista,468,16259,34.74145299145299,16.259,-451.741,13.47093917215081,VERDE (NORMAL),VERDE
SP,BAURU,Flórida Paulista,462,13175,28.517316017316016,13.175,-448.825,16.20068311195446,VERDE (NORMAL),VERDE
SP,SOROCABA,Boituva,512,63850,124.70703125,63.85,-448.15,4.105622552858262,VERDE (NORMAL),VERDE
SP,BAURU,Ipaussu,462,13935,30.162337662337663,13.935,-448.065,15.317115177610333,VERDE (NORMAL),VERDE
SP,ARARAQUARA,Brotas,468,24501,52.3525641025641,24.501,-443.499,8.939390228970247,VERDE (NORMAL),VERDE
SP,BAURU,Junqueirópolis,462,20939,45.32251082251082,20.939,-441.061,10.193610010029133,VERDE (NORMAL),VERDE
SP,ARARAQUARA,Laranjal Paulista,468,27044,57.78632478632478,27.044,-440.956,8.09880195237391,VERDE (NORMAL),VERDE
SP,SOROCABA,Cerqueira César,462,22210,48.073593073593074,22.21,-439.79,9.610265646105358,VERDE (NORMAL),VERDE
